age,job,marital,education,campaign,month,day_of_week,poutcome,y
56,blue-collar,married,basic.4y,adwords,jun,wed,nonexistent,0
58,blue-collar,married,basic.4y,adwords,jun,fri,nonexistent,0
52,admin.,married,high.school,email,nov,fri,nonexistent,0
52,housemaid,married,basic.4y,email,jul,fri,nonexistent,0
36,admin.,divorced,university.degree,email,jul,wed,nonexistent,0
36,admin.,single,university.degree,email,nov,wed,nonexistent,0
53,blue-collar,married,basic.4y,email,aug,mon,nonexistent,0
52,housemaid,married,basic.4y,email,aug,mon,nonexistent,0
47,technician,married,professional.course,adwords,may,thu,nonexistent,0
37,self-employed,divorced,university.degree,adwords,may,mon,nonexistent,0
25,blue-collar,single,basic.9y,adwords,may,thu,nonexistent,0
32,blue-collar,married,basic.6y,email,jul,tue,nonexistent,0
34,admin.,single,university.degree,email,may,fri,failure,0
39,admin.,married,high.school,adwords,jun,thu,nonexistent,0
52,technician,married,professional.course,adwords,nov,tue,failure,0
48,admin.,single,university.degree,adwords,jun,thu,nonexistent,0
48,entrepreneur,married,basic.9y,email,jul,wed,nonexistent,0
50,blue-collar,single,basic.9y,adwords,may,fri,nonexistent,0
55,management,single,basic.4y,adwords,jun,wed,nonexistent,0
38,blue-collar,married,basic.9y,email,nov,tue,nonexistent,0
46,admin.,married,high.school,email,aug,thu,nonexistent,0
31,services,single,high.school,email,may,mon,nonexistent,0
27,technician,married,professional.course,email,jul,thu,nonexistent,0
50,blue-collar,married,basic.4y,email,may,tue,failure,0
52,services,divorced,unknown,adwords,may,fri,nonexistent,0
44,admin.,married,university.degree,adwords,may,mon,nonexistent,0
35,technician,single,professional.course,email,jul,tue,success,1
47,management,divorced,basic.6y,adwords,may,fri,nonexistent,0
32,admin.,single,university.degree,email,jul,thu,nonexistent,0
34,services,married,basic.9y,adwords,may,mon,failure,0
40,admin.,single,high.school,email,may,wed,nonexistent,0
56,services,married,basic.4y,adwords,may,fri,nonexistent,0
48,admin.,married,university.degree,email,aug,thu,nonexistent,0
42,admin.,married,basic.9y,email,jul,mon,nonexistent,0
48,admin.,divorced,high.school,email,nov,mon,nonexistent,0
39,entrepreneur,married,high.school,email,jul,thu,nonexistent,0
46,blue-collar,married,basic.9y,email,nov,mon,nonexistent,0
41,technician,married,basic.9y,adwords,may,tue,nonexistent,0
56,management,divorced,university.degree,adwords,jun,mon,nonexistent,0
25,admin.,married,university.degree,email,mar,fri,nonexistent,1
24,blue-collar,single,high.school,email,jul,fri,nonexistent,0
24,services,single,high.school,adwords,jun,mon,nonexistent,0
39,technician,single,high.school,email,aug,mon,nonexistent,0
42,management,married,basic.6y,email,nov,fri,failure,0
35,technician,single,university.degree,email,aug,wed,nonexistent,0
57,retired,single,high.school,adwords,may,mon,nonexistent,0
29,services,married,unknown,email,jul,wed,nonexistent,0
35,admin.,single,university.degree,email,aug,fri,nonexistent,0
37,blue-collar,married,basic.6y,email,apr,mon,nonexistent,0
42,technician,single,high.school,adwords,jun,wed,nonexistent,0
36,services,married,high.school,email,may,fri,nonexistent,0
41,blue-collar,single,basic.6y,email,jul,wed,nonexistent,0
47,blue-collar,married,basic.9y,email,aug,mon,nonexistent,0
47,blue-collar,married,basic.4y,email,aug,mon,nonexistent,0
44,blue-collar,married,basic.9y,email,may,mon,failure,0
29,services,married,high.school,adwords,may,mon,failure,0
58,management,married,university.degree,email,may,fri,nonexistent,0
36,blue-collar,married,basic.4y,email,nov,mon,nonexistent,0
30,admin.,single,university.degree,adwords,jul,mon,nonexistent,0
46,admin.,single,university.degree,adwords,may,wed,nonexistent,0
30,management,married,university.degree,email,jul,wed,nonexistent,0
30,admin.,divorced,high.school,adwords,jun,fri,nonexistent,0
40,admin.,divorced,university.degree,adwords,may,tue,nonexistent,0
27,blue-collar,single,basic.6y,adwords,jun,wed,nonexistent,0
50,management,single,university.degree,email,jul,thu,nonexistent,0
45,blue-collar,married,basic.6y,email,jul,fri,nonexistent,0
52,housemaid,married,basic.4y,email,aug,mon,nonexistent,0
35,blue-collar,married,high.school,adwords,may,mon,nonexistent,0
41,blue-collar,married,basic.9y,email,apr,fri,failure,0
41,admin.,married,university.degree,email,aug,thu,nonexistent,0
45,admin.,married,university.degree,email,jul,wed,success,0
30,services,single,high.school,email,may,wed,nonexistent,0
62,retired,divorced,university.degree,adwords,oct,wed,nonexistent,0
34,blue-collar,single,high.school,email,jul,wed,nonexistent,0
27,blue-collar,single,basic.6y,adwords,may,mon,nonexistent,0
33,blue-collar,married,basic.9y,email,jul,thu,nonexistent,0
30,blue-collar,married,basic.9y,email,nov,fri,nonexistent,0
75,retired,divorced,basic.9y,email,mar,mon,nonexistent,0
31,entrepreneur,married,high.school,email,nov,wed,nonexistent,0
34,admin.,single,university.degree,adwords,jul,tue,nonexistent,0
29,unemployed,divorced,high.school,email,oct,mon,nonexistent,0
46,unemployed,married,basic.9y,email,jun,tue,nonexistent,0
31,blue-collar,married,basic.9y,email,may,fri,failure,0
27,technician,single,university.degree,email,jul,mon,nonexistent,0
32,admin.,single,professional.course,adwords,may,mon,nonexistent,0
45,admin.,single,university.degree,email,may,fri,success,1
31,admin.,single,high.school,email,nov,fri,nonexistent,0
25,technician,single,professional.course,adwords,may,thu,nonexistent,0
33,blue-collar,single,basic.4y,email,apr,mon,nonexistent,0
30,services,single,high.school,email,jul,thu,nonexistent,0
29,unemployed,single,basic.4y,email,nov,fri,success,0
26,technician,single,high.school,adwords,may,mon,nonexistent,0
32,admin.,single,high.school,email,may,thu,nonexistent,0
29,technician,single,high.school,email,aug,mon,nonexistent,0
56,retired,married,basic.4y,adwords,jun,tue,nonexistent,0
52,management,divorced,university.degree,adwords,may,tue,nonexistent,0
34,blue-collar,married,basic.6y,adwords,jun,mon,nonexistent,0
45,blue-collar,married,basic.9y,adwords,may,wed,nonexistent,0
57,technician,married,high.school,email,may,mon,failure,0
30,admin.,married,university.degree,email,aug,thu,nonexistent,0
28,services,divorced,high.school,adwords,may,wed,nonexistent,0
26,technician,married,professional.course,adwords,jun,mon,nonexistent,0
33,management,married,university.degree,email,nov,thu,nonexistent,0
24,services,single,professional.course,email,jul,wed,nonexistent,0
33,services,married,high.school,adwords,may,wed,nonexistent,0
33,management,married,university.degree,adwords,may,thu,nonexistent,0
59,admin.,married,basic.4y,email,jul,thu,nonexistent,0
60,admin.,single,high.school,adwords,jun,fri,nonexistent,0
25,student,single,high.school,email,may,thu,failure,1
43,unemployed,single,university.degree,adwords,may,mon,nonexistent,0
58,management,married,basic.4y,adwords,jun,fri,nonexistent,0
47,technician,married,professional.course,email,aug,tue,nonexistent,0
39,technician,single,professional.course,adwords,may,tue,nonexistent,0
59,retired,married,basic.6y,adwords,jun,wed,nonexistent,0
33,admin.,married,high.school,adwords,may,fri,nonexistent,0
29,technician,married,high.school,email,jun,fri,nonexistent,1
47,blue-collar,married,basic.4y,adwords,may,fri,nonexistent,0
24,admin.,married,professional.course,email,apr,mon,failure,0
37,technician,married,professional.course,email,apr,fri,nonexistent,0
36,admin.,divorced,high.school,adwords,may,wed,nonexistent,0
26,admin.,married,basic.9y,email,jul,tue,nonexistent,1
59,entrepreneur,married,high.school,adwords,may,wed,nonexistent,0
21,student,single,high.school,email,apr,fri,nonexistent,1
